run,id,frames,window_s,fps,build_avg_ms,build_p50_ms,build_p90_ms,build_p99_ms,raster_avg_ms,raster_p50_ms,raster_p90_ms,raster_p99_ms,span_p50_ms,span_p99_ms,jank_pct,headroom,vsync_budget_ms,dpr,logical_w,logical_h,physical_mpx,ns_per_px,notes
0,survey.turbulence_mask,359,2.96,121.1,0.882,0.697,1.248,3.493,2.038,1.908,2.543,4.328,3.300,12.468,1.1,0.695,8.33,2.00,480,640,1.229,1552.73,"defaults; wrap"
0,survey.dither_wrap,348,2.85,121.9,0.957,0.720,1.339,4.196,2.091,1.888,2.770,5.352,3.316,14.030,1.7,0.668,8.33,2.00,480,640,1.229,1536.46,"defaults; wrap"
0,survey.peel_wrap,349,2.83,122.9,0.850,0.704,1.276,2.873,2.178,1.921,2.959,7.188,3.336,11.564,0.6,0.645,8.33,2.00,480,640,1.229,1563.31,"defaults; wrap [progress ping-pong]"
0,survey.crepuscular_rays,357,2.94,121.2,0.813,0.644,1.210,2.974,1.993,1.780,2.702,5.290,3.114,12.283,1.1,0.676,8.33,2.00,480,640,1.229,1448.57,"defaults; wrap"
0,survey.kuwahara_wrap,356,2.95,120.5,0.744,0.619,0.999,2.740,1.713,1.674,2.205,3.071,2.902,9.547,0.3,0.735,8.33,2.00,480,640,1.229,1362.30,"defaults; wrap"
0,survey.liquid_metal,356,2.90,122.6,0.650,0.538,1.035,2.302,1.021,0.905,1.242,3.510,1.857,7.560,0.3,0.851,8.33,2.00,480,640,1.229,736.49,"defaults; fill"
0,survey.layered_metal,355,2.90,122.2,0.708,0.586,1.027,2.287,1.107,0.934,1.432,3.322,1.949,7.747,0.6,0.828,8.33,2.00,480,640,1.229,760.09,"defaults; fill"
0,survey.iridescent_liquid,354,2.93,120.5,0.780,0.646,1.199,2.744,1.743,1.651,2.131,3.804,2.877,9.956,0.3,0.744,8.33,2.00,480,640,1.229,1343.59,"defaults; wrap"
0,survey.iridescent_liquid_fill,352,2.98,117.7,0.649,0.521,0.954,2.500,1.298,0.885,1.365,6.432,1.814,10.551,0.9,0.836,8.33,2.00,480,640,1.229,720.21,"defaults; fill"
0,prod.iwrap.480,353,2.91,121.0,0.702,0.580,0.978,3.314,1.649,1.626,2.044,3.231,2.739,5.969,0.0,0.755,8.33,2.00,480,640,1.229,1323.24,"defaults (contour ON), circle child"
0,prod.iwrap.256,359,2.93,122.2,0.900,0.658,1.331,6.984,1.593,1.278,2.212,5.512,2.562,15.179,1.9,0.735,8.33,2.00,256,256,0.262,4875.18,"fill-rate scaling: small"
0,prod.iwrap.full,352,4.09,85.7,0.527,0.461,0.646,2.118,10.482,9.932,21.134,30.553,17.032,32.289,78.7,-1.536,8.33,2.00,800,1042,3.334,2978.65,"fill-rate scaling: full window"
0,prod.iwrap.contour0,344,2.85,120.5,0.881,0.660,1.242,4.888,1.801,1.683,2.421,4.820,2.970,11.311,0.3,0.709,8.33,2.00,480,640,1.229,1369.63,"contour=0: whole edge-distance raycast gated OFF"
0,prod.iwrap.contour1,355,2.92,121.3,0.743,0.596,1.148,2.640,1.672,1.630,2.092,3.390,2.783,6.874,0.3,0.749,8.33,2.00,480,640,1.229,1326.50,"contour=1: confirms cost is gate-shaped, not magnitude-shaped"
0,prod.iwrap.edgeband48,356,2.91,121.9,0.706,0.593,1.030,2.720,1.641,1.643,2.059,2.941,2.804,6.392,0.0,0.753,8.33,2.00,480,640,1.229,1337.08,"edgeBandPx=48: larger raycast search radius"
0,prod.iwrap.child_rect,355,2.93,121.0,0.613,0.483,0.761,3.073,1.380,1.310,1.804,2.908,2.210,7.189,0.3,0.784,8.33,2.00,480,640,1.229,1066.08,"full-coverage child: interior rays never exit (worst case)"
0,prod.iwrap.child_text,345,2.82,122.0,0.720,0.621,1.032,2.934,1.708,1.672,2.071,3.386,2.853,8.646,0.3,0.751,8.33,2.00,480,640,1.229,1360.68,"sparse glyph child: most pixels exit early (best case)"
0,prod.iwrap.x9,348,2.83,122.6,1.157,0.997,1.520,3.762,2.603,2.527,3.282,5.530,4.348,10.496,0.6,0.606,8.33,2.00,480,640,1.229,2056.48,"3x3 grid of independent instances (gallery scenario)"
0,prod.iliq.480,355,2.92,121.4,0.620,0.525,0.830,2.552,0.903,0.871,1.188,2.373,1.766,7.004,0.0,0.857,8.33,2.00,480,640,1.229,708.82,"defaults"
0,prod.iliq.full,352,2.91,120.7,0.472,0.398,0.659,1.691,0.739,0.656,1.033,2.065,1.366,4.474,0.3,0.876,8.33,2.00,800,1042,3.334,196.74,"fill-rate scaling: full window"
0,prod.iliq.x9,355,2.93,120.8,0.745,0.638,1.002,2.915,1.042,0.950,1.372,3.305,1.969,5.763,0.0,0.835,8.33,2.00,480,640,1.229,773.11,"3x3 grid of independent instances"
0,prod.fur.480,356,2.93,121.2,0.721,0.592,1.060,2.595,1.692,1.645,2.153,3.498,2.778,8.331,0.3,0.742,8.33,2.00,480,640,1.229,1338.70,"defaults, clicks=0 (wavelets gated OFF), circle child"
0,prod.fur.256,338,2.70,124.8,0.804,0.658,1.068,3.235,1.534,1.324,1.954,4.229,2.621,13.575,1.2,0.766,8.33,2.00,256,256,0.262,5050.66,"fill-rate scaling: small"
0,prod.fur.full,355,3.85,92.0,0.534,0.478,0.663,1.658,9.115,3.507,18.616,20.316,14.715,28.243,67.0,-1.234,8.33,2.00,800,1042,3.334,1051.76,"fill-rate scaling: full window"
0,prod.fur.clicks1,355,2.94,120.3,0.735,0.571,1.029,3.937,1.694,1.575,2.197,3.958,2.682,8.955,0.6,0.736,8.33,2.00,480,640,1.229,1281.74,"1 deterministic mid-life click (wavelet path ON)"
0,prod.fur.clicks5,342,2.80,121.9,0.546,0.485,0.742,1.721,1.277,1.237,1.561,2.503,2.179,4.983,0.0,0.813,8.33,2.00,480,640,1.229,1006.67,"5 deterministic mid-life clicks (wavelet worst case)"
